#! md-business:test-spec-tsv/v1
# タイトル: dbboard デスクトップ 目視検証シート（v0.16.1 / v0.17.0 で入った見た目と経路）
# 文書番号: TEST-dbboard-001
# 対象: dbboard
# 版: 0.1.0
# ステータス: 未実施
No.:number!	項目!	手順:multiline!	期待結果!
1	窓が出る	アプリを起動する	「dbboard」と表示される
2	タイトルバーのマークがアプリのアイコンと同じ	アプリを起動する	左上のマークが、Dock のアイコンと同じ絵（インディゴの角丸四角に白いデータベース記号）である。単色の四角ではない
3	保存済みクエリのチップが描かれている	Query タブを開く	「保存済み」のチップが、隣の「履歴」チップと同じ形・同じ枠で描かれている。素のボタンになっていない
4	履歴のチップがある	Query タブを開く	「履歴」と書かれたチップが表示されている
5	タブが 3 枚ある	アプリを起動する	上部のタブが「クエリ」「構造」「比較」の 3 枚である
6	比較タブが開く	「比較」タブを押す	左右の接続を選ぶ欄と「比較する」ボタンが表示される
7	比較先は同じエンジンだけ出る	「比較」タブで比較先の一覧を開く	一覧に出るのは、左に選んだ接続と同じ種類のものだけである
8	接続一覧が出ている	アプリを起動する	左の一覧に、取り込んだ接続が 1 件以上並んでいる
9	鍵の無い接続は理由が出る	鍵ファイルが手元に無い接続を選ぶ	読める理由が表示される。無言で止まらない、画面が白くならない
10	行の上限を選べる	Query タブの「行」の欄を開く	選べる数が並ぶ
